,Area,Site,Year,CPUE
0,Point Lobos,MPA,2007,19.68783574671725
1,Point Lobos,MPA,2008,14.720623489354304
2,Point Lobos,MPA,2009,6.975288674684551
3,Point Lobos,MPA,2010,7.010604481584674
4,Point Lobos,MPA,2011,8.439070236460804
5,Point Lobos,MPA,2012,5.8674341900207
6,Point Lobos,MPA,2013,5.974591173590545
7,Point Lobos,MPA,2014,14.726592549432892
8,Point Lobos,MPA,2015,24.27502083162983
9,Point Lobos,MPA,2016,26.414987420463273
10,Point Lobos,MPA,2017,34.08352640966417
11,Point Lobos,MPA,2018,35.48105893100514
12,Point Lobos,MPA,2019,32.91204581607557
13,Point Lobos,REF,2007,9.420518787293313
14,Point Lobos,REF,2008,4.407833988280506
15,Point Lobos,REF,2009,3.0620561025644704
16,Point Lobos,REF,2010,4.32466789052837
17,Point Lobos,REF,2011,3.0541164125201226
18,Point Lobos,REF,2012,3.7244388420400543
19,Point Lobos,REF,2013,5.551385410394482
20,Point Lobos,REF,2014,9.798538742389868
21,Point Lobos,REF,2015,13.999733756571336
22,Point Lobos,REF,2016,7.128024917594389
23,Point Lobos,REF,2017,10.864818937532739
24,Point Lobos,REF,2018,13.712130027276475
25,Point Lobos,REF,2019,8.552988641493725
