site_name,reserve_status,latitude,longitude,start_year,end_year,number_samples
Anacapa Island,MPA,34.0162010192871,-119.384928085,2017,2019,3
Anacapa Island,REF,34.001033782959,-119.415536643,2017,2019,3
Ano Nuevo,MPA,37.0979156494141,-122.3345833,2007,2019,13
Ano Nuevo,REF,37.1969184875488,-122.413,2007,2019,13
Bodega Head,MPA,38.3164596557617,-123.078302466,2017,2019,3
Bodega Head,REF,38.3479347229004,-123.0941,2017,2019,3
Cape Mendocino,MPA,40.4256477355957,-124.477684,2017,2019,3
Cape Mendocino,REF,40.4662017822266,-124.4767974,2017,2019,3
Carrington Point,MPA,34.0596008300781,-120.072599942,2017,2019,3
Carrington Point,REF,34.046070098877,-120.135324664,2017,2019,3
Farallon Islands,MPA,37.6888694763184,-123.014935052,2017,2018,2
Farallon Islands,REF,37.7206153869629,-123.038821874,2017,2018,2
Laguna Beach,MPA,33.5356292724609,-117.783259531,2017,2017,1
Laguna Beach,REF,33.5637550354004,-117.837699428,2017,2017,1
Piedras Blancas,MPA,35.6846504211426,-121.3021,2008,2019,11
Piedras Blancas,REF,35.6365509033203,-121.22425,2008,2019,11
Point Buchon,MPA,35.2370147705078,-120.8985521,2007,2019,13
Point Buchon,REF,35.277286529541,-120.9025742,2007,2019,13
Point Conception,MPA,34.4395446777344,-120.434157,2018,2018,1
Point Conception,REF,34.4415473937988,-120.401692,2018,2018,1
Point Lobos,MPA,36.5222053527832,-121.958254,2007,2019,13
Point Lobos,REF,36.5741729736328,-121.9815505,2007,2019,13
South La Jolla,MPA,32.8145484924316,-117.298289943,2017,2019,3
South La Jolla,REF,32.8391647338867,-117.301846133,2017,2019,3
Stewarts Point,MPA,38.6346626281738,-123.401549605,2017,2019,3
Stewarts Point,REF,38.5300674438477,-123.283910204,2017,2019,3
Swamis,MPA,33.0171966552734,-117.289467134,2017,2019,3
Swamis,REF,33.0790557861328,-117.320793416,2017,2019,3
Ten Mile,MPA,39.5841331481934,-123.8091879,2017,2019,3
Ten Mile,REF,39.6847610473633,-123.8083417,2017,2019,3
Trinidad,REF,41.1146430969238,-124.173054561,2018,2019,2
